provincia,municipio,estacion,magnitud,contaminante,punto_muestreo,nombre_estacion,ano,mes,dia,hora,valor,validacion,fecha,dia_semana,es_fin_semana
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,21,0,N,2026-05-07 21:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,21,0,N,2026-05-07 21:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,21,0,N,2026-05-07 21:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,21,0,N,2026-05-07 21:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,22,0,N,2026-05-07 22:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,22,0,N,2026-05-07 22:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,22,0,N,2026-05-07 22:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,22,0,N,2026-05-07 22:00:00,3,False
28,79,27,12,NOx,28079027_12_8,Barajas Pueblo,2026,5,7,23,0,N,2026-05-07 23:00:00,3,False
28,79,27,14,O3,28079027_14_6,Barajas Pueblo,2026,5,7,23,0,N,2026-05-07 23:00:00,3,False
28,79,27,7,NO,28079027_7_8,Barajas Pueblo,2026,5,7,23,0,N,2026-05-07 23:00:00,3,False
28,79,27,8,NO2,28079027_8_8,Barajas Pueblo,2026,5,7,23,0,N,2026-05-07 23:00:00,3,False
28,79,39,12,NOx,28079039_12_8,Barrio del Pilar,2026,5,7,0,27,V,2026-05-07 00:00:00,3,False
28,79,39,14,O3,28079039_14_6,Barrio del Pilar,2026,5,7,0,73,V,2026-05-07 00:00:00,3,False
28,79,39,7,NO,28079039_7_8,Barrio del Pilar,2026,5,7,0,0,V,2026-05-07 00:00:00,3,False
28,79,39,8,NO2,28079039_8_8,Barrio del Pilar,2026,5,7,0,27,V,2026-05-07 00:00:00,3,False
28,79,39,12,NOx,28079039_12_8,Barrio del Pilar,2026,5,7,1,12,V,2026-05-07 01:00:00,3,False
28,79,39,14,O3,28079039_14_6,Barrio del Pilar,2026,5,7,1,76,V,2026-05-07 01:00:00,3,False
28,79,39,7,NO,28079039_7_8,Barrio del Pilar,2026,5,7,1,0,V,2026-05-07 01:00:00,3,False
28,79,39,8,NO2,28079039_8_8,Barrio del Pilar,2026,5,7,1,12,V,2026-05-07 01:00:00,3,False
28,79,39,12,NOx,28079039_12_8,Barrio del Pilar,2026,5,7,2,5,V,2026-05-07 02:00:00,3,False
28,79,39,14,O3,28079039_14_6,Barrio del Pilar,2026,5,7,2,73,V,2026-05-07 02:00:00,3,False
28,79,39,7,NO,28079039_7_8,Barrio del Pilar,2026,5,7,2,0,V,2026-05-07 02:00:00,3,False
28,79,39,8,NO2,28079039_8_8,Barrio del Pilar,2026,5,7,2,5,V,2026-05-07 02:00:00,3,False
28,79,39,12,NOx,28079039_12_8,Barrio del Pilar,2026,5,7,3,6,V,2026-05-07 03:00:00,3,False
28,79,39,14,O3,28079039_14_6,Barrio del Pilar,2026,5,7,3,70,V,2026-05-07 03:00:00,3,False
28,79,39,7,NO,28079039_7_8,Barrio del Pilar,2026,5,7,3,0,V,2026-05-07 03:00:00,3,False
28,79,39,8,NO2,28079039_8_8,Barrio del Pilar,2026,5,7,3,6,V,2026-05-07 03:00:00,3,False
28,79,39,12,NOx,28079039_12_8,Barrio del Pilar,2026,5,7,4,5,V,2026-05-07 04:00:00,3,False
28,79,39,14,O3,28079039_14_6,Barrio del Pilar,2026,5,7,4,71,V,2026-05-07 04:00:00,3,False
28,79,39,7,NO,28079039_7_8,Barrio del Pilar,2026,5,7,4,0,V,2026-05-07 04:00:00,3,False
28,79,39,8,NO2,28079039_8_8,Barrio del Pilar,2026,5,7,4,5,V,2026-05-07 04:00:00,3,False
28,79,39,12,NOx,28079039_12_8,Barrio del Pilar,2026,5,7,5,6,V,2026-05-07 05:00:00,3,False
28,79,39,14,O3,28079039_14_6,Barrio del Pilar,2026,5,7,5,69,V,2026-05-07 05:00:00,3,False
28,79,39,7,NO,28079039_7_8,Barrio del Pilar,2026,5,7,5,0,V,2026-05-07 05:00:00,3,False
28,79,39,8,NO2,28079039_8_8,Barrio del Pilar,2026,5,7,5,6,V,2026-05-07 05:00:00,3,False
28,79,39,12,NOx,28079039_12_8,Barrio del Pilar,2026,5,7,6,13,V,2026-05-07 06:00:00,3,False
28,79,39,14,O3,28079039_14_6,Barrio del Pilar,2026,5,7,6,61,V,2026-05-07 06:00:00,3,False
28,79,39,7,NO,28079039_7_8,Barrio del Pilar,2026,5,7,6,0,V,2026-05-07 06:00:00,3,False
28,79,39,8,NO2,28079039_8_8,Barrio del Pilar,2026,5,7,6,13,V,2026-05-07 06:00:00,3,False
28,79,39,12,NOx,28079039_12_8,Barrio del Pilar,2026,5,7,7,25,V,2026-05-07 07:00:00,3,False
28,79,39,14,O3,28079039_14_6,Barrio del Pilar,2026,5,7,7,49,V,2026-05-07 07:00:00,3,False
28,79,39,7,NO,28079039_7_8,Barrio del Pilar,2026,5,7,7,0,V,2026-05-07 07:00:00,3,False
28,79,39,8,NO2,28079039_8_8,Barrio del Pilar,2026,5,7,7,25,V,2026-05-07 07:00:00,3,False
28,79,39,12,NOx,28079039_12_8,Barrio del Pilar,2026,5,7,8,29,V,2026-05-07 08:00:00,3,False
28,79,39,14,O3,28079039_14_6,Barrio del Pilar,2026,5,7,8,50,V,2026-05-07 08:00:00,3,False
28,79,39,7,NO,28079039_7_8,Barrio del Pilar,2026,5,7,8,0,V,2026-05-07 08:00:00,3,False
28,79,39,8,NO2,28079039_8_8,Barrio del Pilar,2026,5,7,8,29,V,2026-05-07 08:00:00,3,False
28,79,39,12,NOx,28079039_12_8,Barrio del Pilar,2026,5,7,9,27,V,2026-05-07 09:00:00,3,False
28,79,39,14,O3,28079039_14_6,Barrio del Pilar,2026,5,7,9,54,V,2026-05-07 09:00:00,3,False
28,79,39,7,NO,28079039_7_8,Barrio del Pilar,2026,5,7,9,0,V,2026-05-07 09:00:00,3,False
28,79,39,8,NO2,28079039_8_8,Barrio del Pilar,2026,5,7,9,27,V,2026-05-07 09:00:00,3,False
